,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,id,senid,name,type,date,init01,init02,m01,m02,c01,c02,c03,c04,pc01,pc02,gf01,gf02,gf03,gf04,gf05,gf06,logger1_pos1,logger1_pos2,logger2_pos1,logger2_pos2,logger3_pos1,logger3_pos2
101,101,101,101,101,101,101,101,101,101,146,SG0014,SC-14,SG,2020-01-01 1:00,3961.5,11.8,1914.345,12.592,17.998,229.834,-211.836,0.0,17.998,229.834,-0.074431,-0.35082,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,86.0
102,102,102,102,102,102,102,102,102,102,147,SG0015,SC-15,SG,2020-01-01 1:00,4122.5,5.8,1950.744,-3.415,18.527,236.59,-218.063,0.0,18.527,236.59,-0.071254,-0.36197,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,111.0
103,103,103,103,103,103,103,103,103,103,150,EP1303,EP-13U,EP,2020-06-29 9:00,3522.53,4.7,1741.783,-5.979,88.524,0.0,0.0,0.0,88.524,0.0,-1.9587,-0.31109,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0
104,104,104,104,104,104,104,104,104,104,151,EP1401,EP-14C,EP,2020-06-29 9:00,3849.32,12.2,1868.849,-16.532,41.613,0.0,0.0,0.0,41.613,0.0,-1.3409,-0.67884,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,76.0
105,105,105,105,105,105,105,105,105,105,152,EP1402,EP-14D,EP,2020-06-29 9:00,2800.26,10.3,1621.945,11.014,17.921,0.0,0.0,0.0,17.921,0.0,-1.3509,-0.72611,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,77.0
106,106,106,106,106,106,106,106,106,106,153,EP1403,EP-14U,EP,2020-06-29 9:00,3775.6,10.6,1889.732,9.951,20.96,0.0,0.0,0.0,20.96,0.0,-1.3617,-0.54466,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,75.0
107,107,107,107,107,107,107,107,107,107,154,EP1501,EP-15C,EP,2020-06-29 9:00,4264.38,16.0,1966.714,9.882,47.057,0.0,0.0,0.0,47.057,0.0,-1.3637,-0.57106,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,79.0
108,108,108,108,108,108,108,108,108,108,155,EP1502,EP-15D,EP,2020-06-29 9:00,3507.0,14.8,1801.622,-17.278,29.574,0.0,0.0,0.0,29.574,0.0,-1.365,-0.12796,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,80.0
109,109,109,109,109,109,109,109,109,109,157,EP1601,EP-16C,EP,2020-06-29 9:00,3398.0,11.2,1747.458,3.551,42.106,0.0,0.0,0.0,42.106,0.0,-1.3829,-0.92484,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,82.0
110,110,110,110,110,110,110,110,110,110,161,EP1702,EP-17D,EP,2020-06-29 9:00,3144.27,5.9,1751.439,14.241,4.175,0.0,0.0,0.0,4.175,0.0,-1.3328,-1.2495,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,108.0
111,111,111,111,111,111,111,111,111,111,162,EP1703,EP-17U,EP,2020-06-29 9:00,3049.44,3.2,1725.316,-21.543,3.894,0.0,0.0,0.0,3.894,0.0,-1.3602,-0.6546,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,106.0
112,112,112,112,112,112,112,112,112,112,163,EP1801,EP-18C,EP,2020-06-29 9:00,3821.76,3.0,1922.268,14.241,9.622,0.0,0.0,0.0,9.622,0.0,-1.3249,-0.50513,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,108.0
113,113,113,113,113,113,113,113,113,113,164,EP1802,EP-18D,EP,2020-06-29 9:00,2908.47,3.4,3422.987,-4.989,-1181.435,0.0,0.0,0.0,-1181.435,0.0,-1.2896,-0.70123,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,111.0
114,114,114,114,114,114,114,114,114,114,175,NS0008,NS-8,NS,2020-02-29 5:00,2155.3,0.0,751.792,7.98,-1403.508,-1403.508,0.0,0.0,-1403.508,0.0,999999.0,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,137.0
115,115,115,115,115,115,115,115,115,115,176,PJ0501,PJ-5-1,PJ,2020-01-01 1:00,4476.54,0.0,539.878,0.0,-70.443,0.0,0.0,0.0,-70.443,0.0,0.016832,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
116,116,116,116,116,116,116,116,116,116,177,PJ0502,PJ-5-2,PJ,2020-01-01 1:00,4589.28,0.0,2187.295,0.0,3.348,0.0,0.0,0.0,3.348,0.0,0.017171,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0
